condition,seed,quantization,subset,field_order,role,eyes,patients,QWK,Accuracy,BalancedAccuracy,MacroPrecision,MacroRecall,MacroF1,WeightedPrecision,WeightedRecall,WeightedF1,MAE,SevereErrorRate,Precision_Grade0,Recall_Grade0,F1_Grade0,Support_Grade0,Specificity_Grade0,Precision_Grade1,Recall_Grade1,F1_Grade1,Support_Grade1,Specificity_Grade1,Precision_Grade2,Recall_Grade2,F1_Grade2,Support_Grade2,Specificity_Grade2,Precision_Grade3,Recall_Grade3,F1_Grade3,Support_Grade3,Specificity_Grade3,Precision_Grade4,Recall_Grade4,F1_Grade4,Support_Grade4,Specificity_Grade4,OrdinalViolationRate,OrdinalThreshold_Brier,OrdinalThreshold_ECE,Threshold0_MAEProb,Threshold1_MAEProb,Threshold2_MAEProb,Threshold3_MAEProb
best_csd_fp32,8888,FP32,setB,_1=disc,supplementary,200,100,0.6459774184167605,0.54,0.4074039450862804,0.43286556036556034,0.4074039450862804,0.38892119927414043,0.542681758056758,0.54,0.519678665831607,0.73,0.215,0.6666666666666666,0.8505747126436781,0.7474747474747475,87,0.672566371681416,0.2727272727272727,0.13043478260869565,0.17647058823529413,23,0.9548022598870056,0.5142857142857142,0.391304347826087,0.4444444444444444,46,0.8896103896103896,0.5625,0.2647058823529412,0.36,34,0.9578313253012049,0.14814814814814814,0.4,0.21621621621621623,10,0.8789473684210526,0.0,0.13068093359470367,0.051930826039751986,0.3443996012210846,0.3212759494781494,0.2173072248697281,0.1632956862449646
ptq_int8,42,PTQ_INT8,setB,_1=disc,supplementary,200,100,0.6362088316111305,0.545,0.4261192932945292,0.4301518413725468,0.4261192932945292,0.40046684340763716,0.5317342268715266,0.545,0.5165108799071063,0.73,0.215,0.6551724137931034,0.8735632183908046,0.7487684729064039,87,0.6460176991150443,0.2857142857142857,0.17391304347826086,0.21621621621621623,23,0.943502824858757,0.5714285714285714,0.34782608695652173,0.43243243243243246,46,0.922077922077922,0.42105263157894735,0.23529411764705882,0.3018867924528302,34,0.9337349397590361,0.21739130434782608,0.5,0.30303030303030304,10,0.9052631578947369,0.0,0.1276242733001709,0.0294151731999591,0.3425823450088501,0.3133932948112488,0.21687418222427368,0.14146943390369415
ft_ptq_int8,2026,FT_PTQ_INT8,setB,_1=disc,supplementary,200,100,0.6324498076619065,0.47,0.37009318869976776,0.35001986312331146,0.37009318869976776,0.35021928444637956,0.4532894744274056,0.47,0.4567171702413178,0.785,0.21,0.6464646464646465,0.735632183908046,0.6881720430107527,87,0.6902654867256637,0.2,0.13043478260869565,0.15789473684210525,23,0.9322033898305084,0.32432432432432434,0.2608695652173913,0.2891566265060241,46,0.8376623376623377,0.3793103448275862,0.3235294117647059,0.3492063492063492,34,0.891566265060241,0.2,0.4,0.26666666666666666,10,0.9157894736842105,0.0,0.12677991390228271,0.04618371138349176,0.3451131582260132,0.32857269048690796,0.23392808437347412,0.14488954842090607
qat_int8,2026,QAT_INT8,setB,_1=disc,supplementary,200,100,0.6606969394316674,0.525,0.43279242731575385,0.42219986758401234,0.43279242731575385,0.4159753664219926,0.5166366062235515,0.525,0.5136200595501619,0.7,0.185,0.6732673267326733,0.7816091954022989,0.723404255319149,87,0.7079646017699115,0.2,0.17391304347826086,0.18604651162790697,23,0.9096045197740112,0.39473684210526316,0.32608695652173914,0.35714285714285715,46,0.8506493506493507,0.5652173913043478,0.38235294117647056,0.45614035087719296,34,0.9397590361445783,0.2777777777777778,0.5,0.35714285714285715,10,0.9315789473684211,0.0,0.12091979384422302,0.03335826812777668,0.3487173020839691,0.3335837125778198,0.2242908626794815,0.1315935105085373
teacher,-,FP32,setA,_1=macula,supplementary,597,299,0.6834925067763831,0.490787269681742,0.40420772432323415,0.356323778523267,0.40420772432323415,0.3481259895103453,0.47046209916314913,0.490787269681742,0.4650719095793215,0.7638190954773869,0.18927973199329984,0.6688311688311688,0.7715355805243446,0.7165217391304348,267,0.6909090909090909,0.13043478260869565,0.04285714285714286,0.06451612903225806,70,0.9620493358633776,0.38235294117647056,0.2222222222222222,0.2810810810810811,117,0.9125,0.37777777777777777,0.3177570093457944,0.34517766497461927,107,0.8857142857142857,0.2222222222222222,0.6666666666666666,0.3333333333333333,36,0.8502673796791443,0.0,0.12904368340969086,0.07783305493356595,0.30917036533355713,0.2640419602394104,0.1972605437040329,0.18123358488082886
best_fp32,8888,FP32,setA,_1=macula,supplementary,597,299,0.6427274183515745,0.46901172529313234,0.379184466577095,0.34838671060230586,0.379184466577095,0.35339550129193253,0.4620353329856063,0.46901172529313234,0.4617076586031277,0.7956448911222781,0.21273031825795644,0.6934306569343066,0.7116104868913857,0.7024029574861368,267,0.7454545454545455,0.17073170731707318,0.1,0.12612612612612611,70,0.9354838709677419,0.25663716814159293,0.24786324786324787,0.25217391304347825,117,0.825,0.3711340206185567,0.3364485981308411,0.35294117647058826,107,0.8755102040816326,0.25,0.5,0.3333333333333333,36,0.9037433155080213,0.0,0.13903500139713287,0.06193993341683143,0.33028754591941833,0.30744656920433044,0.23754872381687164,0.16207659244537354
best_csd_fp32,8888,FP32,setA,_1=macula,supplementary,597,299,0.6380742228409135,0.46733668341708545,0.35394467375880795,0.34252524968133957,0.35394467375880795,0.3321016862177534,0.44240525115925966,0.46733668341708545,0.4420283977154861,0.7973199329983249,0.22613065326633167,0.6333333333333333,0.7827715355805244,0.7001675041876047,267,0.6333333333333333,0.11864406779661017,0.1,0.10852713178294573,70,0.9013282732447818,0.22093023255813954,0.1623931623931624,0.18719211822660098,117,0.8604166666666667,0.48214285714285715,0.2523364485981308,0.3312883435582822,107,0.9408163265306122,0.25757575757575757,0.4722222222222222,0.3333333333333333,36,0.9126559714795008,0.0,0.13296443223953247,0.04371750710447829,0.3639594316482544,0.33263757824897766,0.22506879270076752,0.14384305477142334
ptq_int8,42,PTQ_INT8,setA,_1=macula,supplementary,597,299,0.5861094849333148,0.47738693467336685,0.3449035770604604,0.33860849193744463,0.3449035770604604,0.3223116280661582,0.4303450713787088,0.47738693467336685,0.4368767458245384,0.8425460636515912,0.2529313232830821,0.6044568245125348,0.8127340823970037,0.6932907348242812,267,0.5696969696969697,0.17391304347826086,0.05714285714285714,0.08602150537634409,70,0.9639468690702088,0.26595744680851063,0.21367521367521367,0.23696682464454977,117,0.85625,0.4067796610169492,0.22429906542056074,0.2891566265060241,107,0.9285714285714286,0.24193548387096775,0.4166666666666667,0.30612244897959184,36,0.9162210338680927,0.0,0.1421281397342682,0.041144043269568754,0.37307724356651306,0.333993524312973,0.2253134548664093,0.1357366293668747
ft_ptq_int8,2026,FT_PTQ_INT8,setA,_1=macula,supplementary,597,299,0.6425779481611302,0.48576214405360135,0.3971650090257672,0.38102416281682266,0.3971650090257672,0.375758702801212,0.4665954548763484,0.48576214405360135,0.4687012477971136,0.7855946398659966,0.22780569514237856,0.6375404530744336,0.7378277153558053,0.6840277777777778,267,0.6606060606060606,0.2631578947368421,0.14285714285714285,0.18518518518518517,70,0.9468690702087287,0.25742574257425743,0.2222222222222222,0.23853211009174313,117,0.84375,0.4634146341463415,0.35514018691588783,0.4021164021164021,107,0.9102040816326531,0.2835820895522388,0.5277777777777778,0.36893203883495146,36,0.9144385026737968,0.0,0.12987512350082397,0.04313412654077887,0.3544163405895233,0.3193493187427521,0.22387444972991943,0.14684398472309113
qat_int8,2026,QAT_INT8,setA,_1=macula,supplementary,597,299,0.6610065239386517,0.48743718592964824,0.3814194437296401,0.35856604236116024,0.3814194437296401,0.3605072916153334,0.4539393853309195,0.48743718592964824,0.4640327435289929,0.7587939698492462,0.21105527638190955,0.6394984326018809,0.7640449438202247,0.6962457337883959,267,0.6515151515151515,0.1111111111111111,0.05714285714285714,0.07547169811320754,70,0.9392789373814042,0.2621359223300971,0.23076923076923078,0.24545454545454545,117,0.8416666666666667,0.475,0.35514018691588783,0.40641711229946526,107,0.9142857142857143,0.3050847457627119,0.5,0.37894736842105264,36,0.9269162210338681,0.0,0.12864722311496735,0.04314038385847705,0.3560899496078491,0.32065635919570923,0.22690552473068237,0.143741175532341
teacher,-,FP32,setA,_1=disc,supplementary,597,299,0.6759122663782862,0.47906197654941374,0.3892305820353704,0.35199583409396223,0.3892305820353704,0.33127905027713583,0.46117225857991184,0.47906197654941374,0.44881647329078783,0.7889447236180904,0.20268006700167504,0.6470588235294118,0.7827715355805244,0.7084745762711865,267,0.6545454545454545,0.16,0.05714285714285714,0.08421052631578947,70,0.9601518026565465,0.38333333333333336,0.19658119658119658,0.2598870056497175,117,0.9229166666666667,0.36619718309859156,0.24299065420560748,0.29213483146067415,107,0.9081632653061225,0.2033898305084746,0.6666666666666666,0.3116883116883117,36,0.8324420677361853,0.0,0.13251696527004242,0.08194555200549027,0.31380516290664673,0.25872373580932617,0.18432070314884186,0.18106350302696228
best_fp32,8888,FP32,setA,_1=disc,supplementary,597,299,0.6224875663651817,0.490787269681742,0.4035177746518711,0.380099917857985,0.4035177746518711,0.37947461631935686,0.482307401923576,0.490787269681742,0.48125005612184873,0.8006700167504187,0.23450586264656617,0.6879432624113475,0.7265917602996255,0.7067395264116576,267,0.7333333333333333,0.22857142857142856,0.11428571428571428,0.1523809523809524,70,0.9487666034155597,0.25210084033613445,0.2564102564102564,0.2542372881355932,117,0.8145833333333333,0.45652173913043476,0.3925233644859813,0.4221105527638191,107,0.8979591836734694,0.2753623188405797,0.5277777777777778,0.3619047619047619,36,0.910873440285205,0.0,0.13929593563079834,0.06043191698428175,0.3323841094970703,0.30925729870796204,0.23667536675930023,0.15794630348682404
best_csd_fp32,8888,FP32,setA,_1=disc,supplementary,597,299,0.6465750971330213,0.4656616415410385,0.3513601450995129,0.32905467031909896,0.3513601450995129,0.32161656850795606,0.4328167994956879,0.4656616415410385,0.43517218564005444,0.7922948073701842,0.21608040201005024,0.6276276276276276,0.7827715355805244,0.6966666666666667,267,0.6242424242424243,0.08163265306122448,0.05714285714285714,0.06722689075630252,70,0.9146110056925996,0.29473684210526313,0.23931623931623933,0.2641509433962264,117,0.8604166666666667,0.3877551020408163,0.17757009345794392,0.24358974358974358,107,0.9387755102040817,0.2535211267605634,0.5,0.3364485981308411,36,0.9055258467023173,0.0,0.13369342684745789,0.03633483968537856,0.36146464943885803,0.32776939868927,0.22438420355319977,0.1482229232788086
ptq_int8,42,PTQ_INT8,setA,_1=disc,supplementary,597,299,0.5978126099824168,0.474036850921273,0.34930919256341914,0.33371559800907624,0.34930919256341914,0.321282561770933,0.4323140583363801,0.474036850921273,0.4362013122744421,0.8391959798994975,0.24958123953098826,0.6136363636363636,0.8089887640449438,0.6978998384491115,267,0.5878787878787879,0.09375,0.04285714285714286,0.058823529411764705,70,0.9449715370018975,0.23333333333333334,0.1794871794871795,0.2028985507246377,117,0.85625,0.48148148148148145,0.24299065420560748,0.32298136645962733,107,0.9428571428571428,0.2463768115942029,0.4722222222222222,0.3238095238095238,36,0.9073083778966132,0.0,0.14153654873371124,0.040845929398521205,0.37103816866874695,0.329803466796875,0.22416961193084717,0.13926146924495697
ft_ptq_int8,2026,FT_PTQ_INT8,setA,_1=disc,supplementary,597,299,0.6387810907336934,0.46901172529313234,0.3706963797050954,0.3499115977535709,0.3706963797050954,0.35095679633851673,0.44637491309610844,0.46901172529313234,0.45212914335739945,0.7956448911222781,0.21943048576214405,0.6331168831168831,0.7303370786516854,0.6782608695652174,267,0.6575757575757576,0.15217391304347827,0.1,0.1206896551724138,70,0.9259962049335864,0.24742268041237114,0.20512820512820512,0.22429906542056074,117,0.8479166666666667,0.45121951219512196,0.34579439252336447,0.3915343915343915,107,0.9081632653061225,0.265625,0.4722222222222222,0.34,36,0.9162210338680927,0.0,0.13097868859767914,0.04493241325969272,0.35577672719955444,0.32039713859558105,0.22420139610767365,0.14751286804676056
qat_int8,2026,QAT_INT8,setA,_1=disc,supplementary,597,299,0.6577552698647402,0.4991624790619765,0.39464358060178706,0.3866201877881522,0.39464358060178706,0.37694438327718627,0.47569531195111825,0.4991624790619765,0.47816078569099985,0.7520938023450586,0.21273031825795644,0.6520376175548589,0.7790262172284644,0.7098976109215017,267,0.6636363636363637,0.25,0.12857142857142856,0.16981132075471697,70,0.9487666034155597,0.26851851851851855,0.24786324786324787,0.2577777777777778,117,0.8354166666666667,0.4722222222222222,0.3177570093457944,0.37988826815642457,107,0.9224489795918367,0.2903225806451613,0.5,0.3673469387755102,36,0.9215686274509803,0.0,0.1290103793144226,0.04254873585302251,0.35684460401535034,0.32081982493400574,0.22641216218471527,0.14320500195026398
