check,reported,recomputed,abs_diff,match
ext_supp_QWK::setB__1disc::ptq_int8::seed2026,0.69067001,0.69067001,0.0,True
ext_supp_QWK::setB__1disc::ptq_int8::seed3407,0.68063872,0.68063872,0.0,True
ext_supp_QWK::setB__1disc::ptq_int8::seed42,0.67659753,0.67659753,0.0,True
ext_supp_QWK::setB__1disc::ptq_int8::seed8888,0.66823927,0.66823927,0.0,True
ext_supp_QWK::setB__1disc::qat_int8::seed123,0.65270241,0.65270241,0.0,True
ext_supp_QWK::setB__1disc::qat_int8::seed2026,0.67207271,0.67207271,0.0,True
ext_supp_QWK::setB__1disc::qat_int8::seed3407,0.66134318,0.66134318,0.0,True
ext_supp_QWK::setB__1disc::qat_int8::seed42,0.69488353,0.69488353,0.0,True
ext_supp_QWK::setB__1disc::qat_int8::seed8888,0.6946093,0.6946093,0.0,True
ext_supp_QWK::setB__1disc::teacher::seed-,0.77443988,0.77443988,0.0,True
ext_supp_QWK::setB__1macula::best_fp32::seed123,0.66447902,0.66447902,0.0,True
ext_supp_QWK::setB__1macula::best_fp32::seed2026,0.68653176,0.68653176,0.0,True
ext_supp_QWK::setB__1macula::best_fp32::seed3407,0.68860213,0.68860213,0.0,True
ext_supp_QWK::setB__1macula::best_fp32::seed42,0.67641699,0.67641699,0.0,True
ext_supp_QWK::setB__1macula::best_fp32::seed8888,0.64276346,0.64276346,0.0,True
ext_supp_QWK::setB__1macula::csd_fp32::seed123,0.66447902,0.66447902,0.0,True
ext_supp_QWK::setB__1macula::csd_fp32::seed2026,0.68653176,0.68653176,0.0,True
ext_supp_QWK::setB__1macula::csd_fp32::seed3407,0.68860213,0.68860213,0.0,True
ext_supp_QWK::setB__1macula::csd_fp32::seed42,0.67641699,0.67641699,0.0,True
ext_supp_QWK::setB__1macula::csd_fp32::seed8888,0.64276346,0.64276346,0.0,True
ext_supp_QWK::setB__1macula::fp32_ft_control::seed123,0.65165977,0.65165977,0.0,True
ext_supp_QWK::setB__1macula::fp32_ft_control::seed2026,0.70053011,0.70053011,0.0,True
ext_supp_QWK::setB__1macula::fp32_ft_control::seed3407,0.67315667,0.67315667,0.0,True
ext_supp_QWK::setB__1macula::fp32_ft_control::seed42,0.71321606,0.71321606,0.0,True
ext_supp_QWK::setB__1macula::fp32_ft_control::seed8888,0.70674139,0.70674139,0.0,True
ext_supp_QWK::setB__1macula::ft_ptq_int8::seed123,0.65628791,0.65628791,0.0,True
ext_supp_QWK::setB__1macula::ft_ptq_int8::seed2026,0.67393569,0.67393569,0.0,True
ext_supp_QWK::setB__1macula::ft_ptq_int8::seed3407,0.66540017,0.66540017,0.0,True
ext_supp_QWK::setB__1macula::ft_ptq_int8::seed42,0.6802329,0.6802329,0.0,True
ext_supp_QWK::setB__1macula::ft_ptq_int8::seed8888,0.64506331,0.64506331,0.0,True
ext_supp_QWK::setB__1macula::ptq_int8::seed123,0.65405297,0.65405297,0.0,True
ext_supp_QWK::setB__1macula::ptq_int8::seed2026,0.68813269,0.68813269,0.0,True
ext_supp_QWK::setB__1macula::ptq_int8::seed3407,0.68604565,0.68604565,0.0,True
ext_supp_QWK::setB__1macula::ptq_int8::seed42,0.67170897,0.67170897,0.0,True
ext_supp_QWK::setB__1macula::ptq_int8::seed8888,0.65824758,0.65824758,0.0,True
ext_supp_QWK::setB__1macula::qat_int8::seed123,0.66680763,0.66680763,0.0,True
ext_supp_QWK::setB__1macula::qat_int8::seed2026,0.65257672,0.65257672,0.0,True
